Name of Event/Activity,Lead Organizer,Date,Start Time,End Time,Length (Hours),Location,Attendance,Partners,Advertisement,Posters,Instagram Post,ColbyNow,EventType
Foundations of Intercultural Communication & Humility Workshop:,"SW, HR",25-Jul-24,9am,12pm,3,Chace Forum,21,Dean of Studies; MaineGeneral,None,FALSE,FALSE,FALSE,Workshop
Wellness for COOT Leaders,SW,23-Aug-24,9am,10:30am,1.5,Ostrove Auditorium,150,Outdoor Education,None,FALSE,FALSE,FALSE,Wellness
Be Well to Do Well for Pre-O,"Pugh Center, SW",27-Aug-24,4pm,5pm,1,Keyes 105,65,,None,FALSE,FALSE,FALSE,Wellness
Flu Vaccine Clinic 1,SW,30-Sep-24,9am,4pm,7,Page Commons,480,Oakland Pharmacy,"Posters, ColbyNow",TRUE,FALSE,TRUE,Presentation
Student Wellness Space Launch Party,SW,25-Oct-24,9am,4pm,7,Garrison-Foster 208,80,,"Posters, Instagram Post, ColbyNow",TRUE,TRUE,TRUE,Wellness
Narcan Trainings,SW,Recurring,Various,Various,0.5,Garrison-Foster 205,184,MaineGeneral,"Posters, Instagram Post, ColbyNow",TRUE,TRUE,TRUE,Wellness
Flu Vaccine Clinic 2,SW,29-Oct-24,9am,4pm,7,"Roberts, Smith Room",200,Oakland Pharmacy; Employee Wellness,"Posters, Instagram Post, ColbyNow",TRUE,TRUE,TRUE,Discussion
Blood Drive,SHOC,29-Oct-24,11am,4pm,5,"Roberts, Robins Room",50,Red Cross,"Posters, Instagram Post, ColbyNow",TRUE,TRUE,TRUE,Wellness
Arboretum Walks,SW,"November 6-7, 2024",3:30pm,4:30pm,1,Perkins Arboretum,5,Outdoor Education,"Posters, Instagram Post, ColbyNow",TRUE,TRUE,TRUE,Wellness
Travel Physicals,"MaineGeneral, SW",14-Nov-24,3pm,8:30pm,5.5,Diamond,0,,None,FALSE,FALSE,FALSE,Wellness
Harm Reduction Fair,SHOC,15-Nov-24,12pm,2pm,2,Spa,0,CER,"Posters, Instagram Post",TRUE,TRUE,FALSE,Workshop
CPR Training Course,"SHOC, CER",16-Nov-24,4pm,6pm,2,Diamond 145,0,,"Posters, Instagram Post, ColbyNow",TRUE,TRUE,TRUE,Wellness
Stressbusters,SHOC,5-Dec-24,11am,2pm,3,Spa,0,,"Posters, Instagram Post",TRUE,TRUE,FALSE,Workshop
EpiPen Training for Dean of Studies,"SW, MaineGeneral",20-Jan-25,3pm,4pm,1,Eustis 109,9,Outdoor Education,None,FALSE,FALSE,FALSE,Presentation
Women's Health and Reproductive Choice Info Session,Dean of Studies Office,21-Jan-25,3pm,4pm,1,Grossman Hall 2nd Floor,20,"OSWHS, MaineGeneral College Health","Posters, Instagram Post, ColbyNow",TRUE,TRUE,TRUE,Workshop
Fundamentals of Wellness Coaching for Peer Leaders - Workshop 2,SW,6-Feb-25,5:30pm,7pm,1.5,Virtual,7,,None,FALSE,FALSE,FALSE,Workshop
Fundamentals of Wellness Coaching for Peer Leaders - Workshop 2,SW,10-Feb-25,5:30pm,7pm,1.5,Virtual,7,,None,FALSE,FALSE,FALSE,Workshop
Wellness Workshop 1: Intro to Wellness Series,SW,12-Feb-25,3pm,4pm,1,Silberman Lounge,0,Julia Houska (Counseling),"Posters, Instagram Post, ColbyNow",TRUE,TRUE,TRUE,Workshop
Social Wellness & Safety for Seniors,"SW, Residental Experience",13-Feb-25,4pm,5pm,1,Senior Apartments,3,,Posters,TRUE,FALSE,FALSE,Workshop
Wellness Workshop 2: Nutrition & Lifestyle,SW,19-Feb-25,3pm,4pm,1,Silberman Lounge,9,Alfonso Ortega (Counseling),"Posters, Instagram Post, ColbyNow",TRUE,TRUE,TRUE,Workshop
Attention Workshop for Student Wellness Leaders,"Art Museum, SW",21-Feb-25,3pm,4pm,1,Art Museum,8,,None,FALSE,FALSE,FALSE,Workshop
CPR Training for Dean of Studies,"SW, CER",24-Feb-25,4pm,5pm,1,Eustis 109,8,CER,None,FALSE,FALSE,FALSE,Workshop
Wellness Workshop 3: Spirit & Meaning,SW,26-Feb-25,3pm,4pm,1,Silberman Lounge,9,Kate Smanik (Spiritual Life),"Posters, Instagram Post, ColbyNow",TRUE,TRUE,TRUE,Workshop
Wellness Workshop 4: Body & Medicine,SW,5-Mar-25,3pm,4pm,1,Silberman Lounge,13,Lisa Harrington (MaineGeneral),"Posters, Instagram Post, ColbyNow",TRUE,TRUE,TRUE,Workshop
Wellness Workshop 5: Occupation & Purpose,SW,19-Mar-25,3pm,4pm,1,Silberman Lounge,7,David Ding (DavisConnects),"Posters, Instagram Post, ColbyNow",TRUE,TRUE,TRUE,Workshop
Wellness Workshop 6: Mind & Emotion,SW,2-Apr-25,3pm,4pm,1,Silberman Lounge,7,Nora Jordan (Counseling),"Posters, Instagram Post, ColbyNow",TRUE,TRUE,TRUE,Workshop
Wellness Workshop 7: Social & Community,SW,9-Apr-25,3pm,4pm,1,Silberman Lounge,5,Paige Begley (Civic Engagement),"Posters, Instagram Post, ColbyNow",TRUE,TRUE,TRUE,Workshop
Wellness Workshop 8: Nature & Environment,SW,16-Apr-25,3pm,4pm,1,Silberman Lounge,5,Maddie LoDico (Sustainability),"Posters, Instagram Post, ColbyNow",TRUE,TRUE,TRUE,Workshop
CPR Training Course,"SHOC, CER",24-Apr-25,6pm,9pm,3,Lovejoy 215,0,,"Posters, ColbyNow",TRUE,FALSE,TRUE,Workshop
CPR Training Course+Certification,"SHOC, CER",3-Mar-25,6:30pm,9pm,2.5,Diamond 153,0,,"Posters, Instagram Post, ColbyNow",TRUE,TRUE,TRUE,Workshop
CER Annual Conference,CER,8-Mar-25,8:30am,2:30pm,6,Diamond,0,,"Posters, Instagram Post",TRUE,TRUE,FALSE,Workshop
Self-Care Resource Fair,Spiritual Life,11-Apr-25,11am,2pm,3,Page Commons,0,,None,FALSE,FALSE,FALSE,Workshop
Healthcare After Colby,SW,17-Apr-25,12pm,1pm,1,Pugh Center,20,MaineGeneral; International Programs,"Posters, Instagram Post, ColbyNow",TRUE,TRUE,TRUE,Presentation
Sexploration,SHOC,18-Apr-25,12pm,2pm,2,Spa,0,,Posters,TRUE,FALSE,FALSE,Wellness
Blood Drive,SHOC,24-Apr-25,11am,4pm,5,Roberts Robins Room,50,,"Posters, ColbyNow",TRUE,FALSE,TRUE,Presentation
Art Wellness Celebration 1,SW,25-Apr-25,11am,3pm,4,Spa,0,,"Posters, Instagram Post, ColbyNow",TRUE,TRUE,TRUE,Wellness
Take Back the Night,"SHOC, SVP",25-Apr-25,4pm,7pm,3,Diamond,20,,"Posters, Instagram Post, ColbyNow",TRUE,TRUE,TRUE,Discussion
Art Wellness Celebration 2,SW,1-May-25,11am,4pm,5,Spa,0,,"Posters, Instagram Post, ColbyNow",TRUE,TRUE,TRUE,Wellness
Stressbusters,SHOC,9-May-25,11am,2pm,3,Spa,0,,"Posters, Instagram Post",TRUE,TRUE,FALSE,Wellness
